crop_name,file,states_covered,chunk_count_estimate
Potato,rag_docs/potato.md,5,29
Fennel,rag_docs/fennel.md,3,29
ChickPea,rag_docs/chickpea.md,5,29
Tomato,rag_docs/tomato.md,4,29
Banana,rag_docs/banana.md,4,21
Barley,rag_docs/barley.md,4,29
Maize,rag_docs/maize.md,4,29
Mustard,rag_docs/mustard.md,4,29
Guar,rag_docs/guar.md,3,29
Castor,rag_docs/castor.md,3,29
Sunflower,rag_docs/sunflower.md,3,29
Sesame,rag_docs/sesame.md,4,29
Cotton,rag_docs/cotton.md,4,29
Groundnut,rag_docs/groundnut.md,4,29
Chilli,rag_docs/chilli.md,4,29
Wheat,rag_docs/wheat.md,4,29
Sugarcane,rag_docs/sugarcane.md,4,21
MungBean,rag_docs/mungbean.md,4,29
Turmeric,rag_docs/turmeric.md,4,21
Bajra,rag_docs/bajra.md,4,29
Soybean,rag_docs/soybean.md,3,29
Onion,rag_docs/onion.md,4,29
UradBean,rag_docs/uradbean.md,4,29
Rice,rag_docs/rice.md,4,29
Pigeonpea,rag_docs/pigeonpea.md,4,29
